GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project1,com.projectone.config,SessionController,21,0,0,0,7,0,4,0,4,0
Project1,com.projectone.config,EnvironmentConnectionUtil,11,27,0,2,2,10,1,3,1,2
Project1,com.projectone.model,ReimbursementStatus,24,0,0,0,7,0,4,0,4,0
Project1,com.projectone.model,UserRole,24,0,0,0,7,0,4,0,4,0
Project1,com.projectone.model,Reimbursement,160,33,0,0,47,12,22,1,22,1
Project1,com.projectone.model,ReimbursementType,24,0,0,0,7,0,4,0,4,0
Project1,com.projectone.model,Users,104,24,0,0,32,9,16,1,16,1
Project1,com.projectone.servlet,DataServlet,17,0,0,0,5,0,3,0,3,0
Project1,com.projectone.servlet,RequestForwarder,126,0,20,0,19,0,15,0,3,0
Project1,com.projectone.servlet,ViewServlet,25,0,0,0,7,0,3,0,3,0
Project1,com.projectone.service,UsersService,37,0,0,0,10,0,7,0,7,0
Project1,com.projectone.service,ReimbursementService,36,0,0,0,10,0,7,0,7,0
Project1,com.projectone.controller,UsersDataController,29,0,0,0,10,0,3,0,3,0
Project1,com.projectone.controller,ReimbursementController,101,0,4,0,25,0,6,0,4,0
Project1,com.projectone.controller,ReimbursementDataController,29,0,0,0,10,0,3,0,3,0
Project1,com.projectone.controller,UsersController,85,0,4,0,23,0,6,0,4,0
Project1,com.projectone.repo,ReimbursementDao,357,75,40,4,58,18,23,5,1,5
Project1,com.projectone.repo,UsersDao,383,77,48,4,61,19,28,5,2,5
